Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,
Canada,205.1,163.0,230.2,309.6,308.7,427.9,469.5,527.6,607.0,530.9,546.4,645.6,697.4,787.0,846.9,907.7,972.8,"1,042.9","1,146.4","1,047.4","1,179.7","1,147.8","1,154.0","1,231.6","1,355.5","1,372.4","1,439.6","1,506.1","1,550.7","1,493.3","1,477.9","1,684.1","1,756.9","2,058.7","2,276.2","2,301.2","2,742.2","2,892.9","3,177.8","3,279.3","3,037.7",,,,,,
Mexico,920.8,"1,225.4","1,666.8","1,717.6","1,709.6","1,602.7","1,439.2","1,505.4","1,463.1","1,427.1","1,406.0","1,511.3","1,511.3","1,481.3","1,435.4","1,429.2","1,619.2","1,814.8","1,835.2","1,677.2","1,849.8","1,882.5","1,955.8","2,114.4","2,123.8","2,021.6","2,001.7","1,808.3","1,509.4","1,311.8","1,460.3","1,419.5","1,333.1","1,270.7","1,219.8","1,247.1","1,273.8","1,264.1","1,283.3","1,199.9","1,198.5",,,,,,
United States,287.0,228.0,236.0,164.0,181.0,204.0,154.0,151.0,155.0,142.0,109.0,116.0,89.0,98.0,99.0,95.0,110.0,108.0,110.0,118.0,50.0,20.0,9.0,12.0,27.0,32.0,25.0,27.0,29.0,44.0,42.0,47.0,67.0,134.0,351.0,465.0,591.0,"1,158.0","2,048.0","2,982.0","3,175.0",,,,,,
Norway,401.8,370.1,375.2,484.3,579.7,624.9,697.3,822.4,943.7,"1,286.0","1,344.8","1,631.8","1,846.8","1,993.0","2,259.8","2,482.7","2,803.3","2,833.4","2,713.9","2,696.0","2,902.9","2,978.8","2,821.7","2,731.0","2,681.9","2,338.6","2,175.6","1,980.7","1,674.2","1,771.7","1,601.6","1,423.0","1,302.9","1,198.5","1,202.8","1,234.9","1,372.2","1,361.2","1,254.5","1,233.5","1,501.8",,,,,,
United Kingdom,785.4,"1,037.3","1,215.4","1,360.9","1,560.2","1,601.9","1,682.9","1,616.2","1,412.7",992.0,"1,090.8","1,059.0","1,100.0","1,230.5","1,580.6","1,614.3","1,553.5","1,516.7","1,608.3","1,717.4","1,747.3","1,633.7","1,639.5","1,389.7","1,226.1",987.0,907.1,911.2,821.1,775.3,740.0,562.9,576.5,613.3,569.5,595.1,620.2,692.7,818.0,834.4,724.3,,,,,,
Australia,0.0,0.0,0.0,0.0,16.3,88.9,81.6,88.3,102.8,75.2,107.3,145.6,140.7,157.7,143.5,176.4,162.7,177.8,216.7,205.3,306.8,392.1,386.2,314.1,261.9,230.0,200.4,236.2,249.1,252.5,314.1,272.0,260.9,205.6,244.3,221.8,199.5,179.8,214.6,248.8,253.2,,,,,,
China,266.9,275.8,304.9,304.7,450.1,606.4,570.0,581.0,549.9,515.0,499.6,453.0,430.2,389.7,370.8,345.9,406.6,397.7,312.9,143.7,206.1,151.0,153.3,162.7,109.5,161.3,127.3,77.7,84.8,103.7,60.6,50.5,48.9,32.0,12.2,57.3,58.6,97.1,52.4,16.1,32.7,,,,,,
India,0.0,16.8,91.3,110.7,129.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Brunei,219.3,159.3,160.9,163.7,153.2,164.1,170.0,147.8,141.3,129.5,142.8,162.5,170.5,168.7,172.9,173.8,160.6,160.9,166.2,190.6,189.4,185.0,178.8,183.2,192.6,197.8,207.5,170.5,163.6,152.1,161.9,154.3,139.0,114.6,108.0,112.1,104.7,98.0,91.9,106.9,82.3,,,,,,
Indonesia,"1,211.4","1,256.7","1,108.0","1,180.6","1,087.5",866.3,896.5,799.7,755.9,798.5,789.9,899.8,805.7,837.9,887.6,835.8,803.2,806.3,787.0,821.4,627.1,682.0,614.9,518.1,490.1,365.6,321.5,319.7,294.8,401.3,356.1,256.9,228.9,228.6,255.9,315.1,334.5,284.8,205.7,70.9,92.9,,,,,,
Malaysia,240.0,214.3,253.0,300.5,356.8,362.3,382.2,380.9,415.4,446.4,441.9,473.0,459.4,434.7,421.2,401.2,360.2,356.2,403.8,397.6,400.0,390.4,392.1,426.1,420.2,403.9,382.8,383.8,355.9,372.5,370.0,280.0,267.8,209.0,229.0,338.1,342.8,344.8,357.5,287.0,280.0,,,,,,
