Date,perBarrel
1/1/86 0:00,22.93
2/1/86 0:00,15.46
3/1/86 0:00,12.61
4/1/86 0:00,12.84
5/1/86 0:00,15.38
6/1/86 0:00,13.43
7/1/86 0:00,11.59
8/1/86 0:00,15.1
9/1/86 0:00,14.87
10/1/86 0:00,14.9
11/1/86 0:00,15.22
12/1/86 0:00,16.11
1/1/87 0:00,18.65
2/1/87 0:00,17.75
3/1/87 0:00,18.3
4/1/87 0:00,18.68
5/1/87 0:00,19.44
6/1/87 0:00,20.07
7/1/87 0:00,21.34
8/1/87 0:00,20.31
9/1/87 0:00,19.53
10/1/87 0:00,19.86
11/1/87 0:00,18.85
12/1/87 0:00,17.28
1/1/88 0:00,17.13
2/1/88 0:00,16.8
3/1/88 0:00,16.2
4/1/88 0:00,17.86
5/1/88 0:00,17.42
6/1/88 0:00,16.53
7/1/88 0:00,15.5
8/1/88 0:00,15.52
9/1/88 0:00,14.54
10/1/88 0:00,13.77
11/1/88 0:00,14.14
12/1/88 0:00,16.38
1/1/89 0:00,18.02
2/1/89 0:00,17.94
3/1/89 0:00,19.48
4/1/89 0:00,21.07
5/1/89 0:00,20.12
6/1/89 0:00,20.05
7/1/89 0:00,19.78
8/1/89 0:00,18.58
9/1/89 0:00,19.59
10/1/89 0:00,20.1
11/1/89 0:00,19.86
12/1/89 0:00,21.1
1/1/90 0:00,22.86
2/1/90 0:00,22.11
3/1/90 0:00,20.39
4/1/90 0:00,18.43
5/1/90 0:00,18.2
6/1/90 0:00,16.7
7/1/90 0:00,18.45
8/1/90 0:00,27.31
9/1/90 0:00,33.51
10/1/90 0:00,36.04
11/1/90 0:00,32.33
12/1/90 0:00,27.28
1/1/91 0:00,25.23
2/1/91 0:00,20.48
3/1/91 0:00,19.9
4/1/91 0:00,20.83
5/1/91 0:00,21.23
6/1/91 0:00,20.19
7/1/91 0:00,21.4
8/1/91 0:00,21.69
9/1/91 0:00,21.89
10/1/91 0:00,23.23
11/1/91 0:00,22.46
12/1/91 0:00,19.5
1/1/92 0:00,18.79
2/1/92 0:00,19.01
3/1/92 0:00,18.92
4/1/92 0:00,20.23
5/1/92 0:00,20.98
6/1/92 0:00,22.39
7/1/92 0:00,21.78
8/1/92 0:00,21.34
9/1/92 0:00,21.88
10/1/92 0:00,21.69
11/1/92 0:00,20.34
12/1/92 0:00,19.41
1/1/93 0:00,19.03
2/1/93 0:00,20.09
3/1/93 0:00,20.32
4/1/93 0:00,20.25
5/1/93 0:00,19.95
6/1/93 0:00,19.09
7/1/93 0:00,17.89
8/1/93 0:00,18.01
9/1/93 0:00,17.5
10/1/93 0:00,18.15
11/1/93 0:00,16.61
12/1/93 0:00,14.52
1/1/94 0:00,15.03
2/1/94 0:00,14.78
3/1/94 0:00,14.68
4/1/94 0:00,16.42
5/1/94 0:00,17.89
6/1/94 0:00,19.06
7/1/94 0:00,19.66
8/1/94 0:00,18.38
9/1/94 0:00,17.45
10/1/94 0:00,17.72
11/1/94 0:00,18.07
12/1/94 0:00,17.16
1/1/95 0:00,18.04
2/1/95 0:00,18.57
3/1/95 0:00,18.54
4/1/95 0:00,19.9
5/1/95 0:00,19.74
6/1/95 0:00,18.45
7/1/95 0:00,17.33
8/1/95 0:00,18.02
9/1/95 0:00,18.23
10/1/95 0:00,17.43
11/1/95 0:00,17.99
12/1/95 0:00,19.03
1/1/96 0:00,18.86
2/1/96 0:00,19.09
3/1/96 0:00,21.33
4/1/96 0:00,23.5
5/1/96 0:00,21.17
6/1/96 0:00,20.42
7/1/96 0:00,21.3
8/1/96 0:00,21.9
9/1/96 0:00,23.97
10/1/96 0:00,24.88
11/1/96 0:00,23.71
12/1/96 0:00,25.23
1/1/97 0:00,25.13
2/1/97 0:00,22.18
3/1/97 0:00,20.97
4/1/97 0:00,19.7
5/1/97 0:00,20.82
6/1/97 0:00,19.26
7/1/97 0:00,19.66
8/1/97 0:00,19.95
9/1/97 0:00,19.8
10/1/97 0:00,21.33
11/1/97 0:00,20.19
12/1/97 0:00,18.33
1/1/98 0:00,16.72
2/1/98 0:00,16.06
3/1/98 0:00,15.12
4/1/98 0:00,15.35
5/1/98 0:00,14.91
6/1/98 0:00,13.72
7/1/98 0:00,14.17
8/1/98 0:00,13.47
9/1/98 0:00,15.03
10/1/98 0:00,14.46
11/1/98 0:00,13
12/1/98 0:00,11.35
1/1/99 0:00,12.52
2/1/99 0:00,12.01
3/1/99 0:00,14.68
4/1/99 0:00,17.31
5/1/99 0:00,17.72
6/1/99 0:00,17.92
7/1/99 0:00,20.1
8/1/99 0:00,21.28
9/1/99 0:00,23.8
10/1/99 0:00,22.69
11/1/99 0:00,25
12/1/99 0:00,26.1
1/1/00 0:00,27.26
2/1/00 0:00,29.37
3/1/00 0:00,29.84
4/1/00 0:00,25.72
5/1/00 0:00,28.79
6/1/00 0:00,31.82
7/1/00 0:00,29.7
8/1/00 0:00,31.26
9/1/00 0:00,33.88
10/1/00 0:00,33.11
11/1/00 0:00,34.42
12/1/00 0:00,28.44
1/1/01 0:00,29.59
2/1/01 0:00,29.61
3/1/01 0:00,27.25
4/1/01 0:00,27.49
5/1/01 0:00,28.63
6/1/01 0:00,27.6
7/1/01 0:00,26.43
8/1/01 0:00,27.37
9/1/01 0:00,26.2
10/1/01 0:00,22.17
11/1/01 0:00,19.64
12/1/01 0:00,19.39
1/1/02 0:00,19.72
2/1/02 0:00,20.72
3/1/02 0:00,24.53
4/1/02 0:00,26.18
5/1/02 0:00,27.04
6/1/02 0:00,25.52
7/1/02 0:00,26.97
8/1/02 0:00,28.39
9/1/02 0:00,29.66
10/1/02 0:00,28.84
11/1/02 0:00,26.35
12/1/02 0:00,29.46
1/1/03 0:00,32.95
2/1/03 0:00,35.83
3/1/03 0:00,33.51
4/1/03 0:00,28.17
5/1/03 0:00,28.11
6/1/03 0:00,30.66
7/1/03 0:00,30.76
8/1/03 0:00,31.57
9/1/03 0:00,28.31
10/1/03 0:00,30.34
11/1/03 0:00,31.11
12/1/03 0:00,32.13
