state,2003-03-31 00:00:00,2003-04-30 00:00:00,2003-05-31 00:00:00,2003-06-30 00:00:00,2003-07-31 00:00:00,2003-08-31 00:00:00,2003-09-30 00:00:00,2003-10-31 00:00:00,2003-11-30 00:00:00,2003-12-31 00:00:00,2004-01-31 00:00:00,2004-02-29 00:00:00,2004-03-31 00:00:00,2004-04-30 00:00:00,2004-05-31 00:00:00,2004-06-30 00:00:00,2004-07-31 00:00:00,2004-08-31 00:00:00,2004-09-30 00:00:00,2004-10-31 00:00:00,2004-11-30 00:00:00,2004-12-31 00:00:00,2005-01-31 00:00:00,2005-02-28 00:00:00,2005-03-31 00:00:00,2005-04-30 00:00:00,2005-05-31 00:00:00,2005-06-30 00:00:00,2005-07-31 00:00:00,2005-08-31 00:00:00,2005-09-30 00:00:00,2005-10-31 00:00:00,2005-11-30 00:00:00,2005-12-31 00:00:00,2006-01-31 00:00:00,2006-02-28 00:00:00,2006-03-31 00:00:00,2006-04-30 00:00:00,2006-05-31 00:00:00,2006-06-30 00:00:00,2006-07-31 00:00:00,2006-08-31 00:00:00,2006-09-30 00:00:00,2006-10-31 00:00:00,2006-11-30 00:00:00,2006-12-31 00:00:00,2007-01-31 00:00:00,2007-02-28 00:00:00,2007-03-31 00:00:00,2007-04-30 00:00:00,2007-05-31 00:00:00,2007-06-30 00:00:00,2007-07-31 00:00:00,2007-08-31 00:00:00,2007-09-30 00:00:00,2007-10-31 00:00:00,2007-11-30 00:00:00,2007-12-31 00:00:00,2008-01-31 00:00:00,2008-02-29 00:00:00,2008-03-31 00:00:00,2008-04-30 00:00:00,2008-05-31 00:00:00,2008-06-30 00:00:00,2008-07-31 00:00:00,2008-08-31 00:00:00,2008-09-30 00:00:00,2008-10-31 00:00:00,2008-11-30 00:00:00,2008-12-31 00:00:00,2009-01-31 00:00:00,2009-02-28 00:00:00,2009-03-31 00:00:00,2009-04-30 00:00:00,2009-05-31 00:00:00,2009-06-30 00:00:00,2009-07-31 00:00:00,2009-08-31 00:00:00,2009-09-30 00:00:00,2009-10-31 00:00:00,2009-11-30 00:00:00,2009-12-31 00:00:00,2010-01-31 00:00:00,2010-02-28 00:00:00,2010-03-31 00:00:00,2010-04-30 00:00:00,2010-05-31 00:00:00,2010-06-30 00:00:00,2010-07-31 00:00:00,2010-08-31 00:00:00,2010-09-30 00:00:00,2010-10-31 00:00:00,2010-11-30 00:00:00,2010-12-31 00:00:00,2011-01-31 00:00:00,2011-02-28 00:00:00,2011-03-31 00:00:00,2011-04-30 00:00:00,2011-05-31 00:00:00,2011-06-30 00:00:00,2011-07-31 00:00:00,2011-08-31 00:00:00,2011-09-30 00:00:00,2011-10-31 00:00:00,2011-11-30 00:00:00,latitude,longitude,name
IA,102731.38,103180.12,103636.0,101544.56,102034.11,102690.89,103267.22,103881.67,104276.11,104503.11,104738.33,105171.11,105554.67,105918.0,106219.0,106470.0,106891.11,107239.78,107609.89,107976.0,108302.0,108895.0,109393.33,107362.7,107144.8,104911.75,103059.15,97056.88,97156.69,95906.89,96515.0,96535.33,97399.41,97541.91,97697.91,97837.68,98113.27,98457.05,98843.05,99137.55,99451.5,99784.32,100057.18,100307.5,100418.36,100511.82,100575.27,100790.59,101179.41,99316.7,104337.08,104446.08,104505.5,104623.21,104862.75,105168.5,105526.33,105907.96,106316.71,106550.92,106535.54,106496.38,106555.12,106713.33,106735.12,106746.12,106747.04,106832.21,106904.38,106888.42,106706.79,106482.25,106351.54,106257.17,106089.96,105842.0,105665.5,103677.88,103436.84,103058.16,102728.0,102489.76,102527.48,102746.76,102978.56,103043.6,103173.44,103230.08,103306.24,103269.08,103245.92,103302.0,103379.68,103373.0,103258.28,103084.12,102921.0,102778.44,102618.56,102636.32,101929.73,102318.5,102612.92,102848.88,102939.12,41.878003,-93.097702,Iowa
KS,157743.18,157600.91,157701.27,158067.18,158756.36,159329.18,159962.82,160507.27,160838.64,161214.82,161509.64,161818.82,162326.55,163206.0,164167.64,164962.55,165460.18,165824.55,166081.36,166645.45,167290.73,165437.5,166098.42,166834.75,159404.36,156995.13,151643.88,152003.0,152584.56,153244.5,154294.25,149557.18,149854.06,150015.53,150408.0,150895.88,151272.47,151740.35,151831.41,151853.41,151950.0,152374.94,152758.35,153210.76,153764.76,154359.35,154857.94,155183.76,155530.59,155874.53,156377.88,157108.65,152745.17,149942.05,149846.21,149992.16,150450.42,150876.53,144791.0,144873.33,144840.0,144681.48,144643.67,144483.14,144338.62,144348.05,144426.38,144437.05,140060.5,139751.32,139371.05,139337.0,139348.77,139566.18,139539.41,139474.77,139457.91,139487.09,139487.0,139256.55,139134.05,139114.68,139164.73,139011.36,138924.55,138839.41,138862.95,138788.73,138497.5,137996.73,137582.41,137457.18,137298.82,136957.05,136558.23,136332.32,135896.59,135364.05,135004.77,134860.09,134832.23,134715.55,134679.18,134377.41,134152.36,39.011902,-98.484246,Kansas
UT,198493.46,198626.23,198825.46,199007.69,198972.0,199160.46,199481.15,199877.46,200109.69,200405.0,200871.92,201843.46,200848.5,201334.79,201581.86,201827.86,202183.5,202349.07,202766.57,203482.0,204452.29,214490.88,207071.18,211837.22,206650.16,212831.7,213941.0,212028.43,213347.57,214626.33,215925.19,217113.9,218547.67,219930.86,221749.24,223852.33,226440.05,229080.67,231073.05,233401.19,235964.05,239263.33,242098.48,244877.81,247324.9,250318.71,253169.52,255670.0,257989.05,260149.57,262992.9,265452.9,267764.38,269413.29,271092.19,272412.52,273382.9,273927.62,244605.63,244438.56,243544.26,240534.82,239001.07,237564.25,235868.61,234184.46,232534.29,231120.46,229603.36,227922.11,226034.29,224303.21,222629.36,221221.79,219746.54,218154.29,216438.43,214722.36,213412.36,212314.82,211526.71,210763.36,209880.39,209002.71,208466.07,208022.07,207656.39,207010.0,206395.25,205636.14,204763.43,203647.86,202374.57,200970.11,200084.14,199134.86,198047.18,196611.25,195515.29,194847.96,194834.43,194992.64,194767.89,194161.36,193686.68,39.32098,-111.093731,Utah
VA,134937.38,136012.69,137332.77,138410.08,139344.46,140466.38,142059.46,143845.15,145518.46,147116.62,148642.23,150330.46,152122.46,153641.0,155381.15,157613.38,160350.0,163232.31,165905.69,168629.54,171261.77,173820.15,174911.79,185595.27,181247.82,177699.83,170451.8,172679.2,174847.85,176708.82,173562.43,174967.52,176644.74,178325.52,179711.83,180980.22,182143.39,183405.78,181440.12,182537.08,183522.42,184282.75,185332.25,186227.25,186801.83,187524.67,188265.92,188847.5,189075.42,189161.33,189047.04,189043.67,188839.38,189066.17,189115.33,189130.54,188940.21,188341.58,187286.85,186681.42,185908.65,184934.85,183910.85,182906.96,181826.85,180563.77,184268.04,183386.56,182691.89,181907.89,181146.33,180145.74,179313.19,178340.44,177543.37,176642.11,175935.37,175226.3,174466.3,173479.96,172582.74,172022.04,171686.67,171649.67,171561.48,171658.67,171673.7,171741.48,171742.56,171552.67,171321.63,171193.48,170934.96,170547.85,169828.0,169245.81,168576.63,167946.59,167317.3,166849.93,166501.81,166235.0,166076.52,165998.37,165941.0,37.431573,-78.656894,Virginia
NC,140564.23,140050.79,140295.5,140561.36,140840.0,144971.53,145067.87,145305.93,145659.0,145963.8,146330.67,146692.07,148388.06,146726.65,146886.24,146725.53,146882.24,147067.53,147589.0,148014.76,148408.0,148920.88,149108.61,149718.0,146866.05,145928.65,157728.29,158724.71,159784.76,161050.24,162353.0,163881.38,165246.43,166687.57,168103.05,169458.19,170781.14,172129.52,173557.76,174958.0,176359.1,177589.24,173263.59,173799.64,174322.23,173596.17,174519.96,175301.26,175985.87,176315.78,176630.3,176852.43,176988.3,176945.48,176858.65,176822.91,176982.35,176721.0,176438.0,176039.35,175986.83,176036.04,176162.22,176080.0,175838.91,175538.7,175264.39,174881.17,174224.3,173668.39,173040.3,172394.17,171541.0,170517.65,169296.22,168050.39,166889.43,165663.61,164553.26,163521.0,162555.0,161839.96,161217.92,160549.38,159772.12,159078.17,158460.21,157857.58,157186.92,156447.08,155697.33,154939.29,154177.92,153235.96,153185.96,152214.0,151422.58,150748.31,150060.85,149457.96,148917.38,148435.23,147958.08,147325.92,146564.85,35.759573,-79.0193,North Carolina
NE,115565.55,116007.64,116368.55,116541.27,116649.27,116817.09,117244.91,117654.91,117904.36,118041.45,118334.64,118735.36,119060.91,119457.55,120292.25,120535.17,120755.67,120880.33,116847.54,117107.46,117709.54,118496.46,119209.46,119431.0,119220.15,118965.5,119009.36,119395.43,119791.86,120198.29,120355.21,120523.86,120573.79,120434.21,120382.71,120685.21,121432.29,121960.79,122423.29,122631.57,122875.71,122974.86,123243.29,123590.57,123915.29,120966.6,120993.93,121036.4,121025.47,121129.2,121043.0,120817.93,120629.0,120539.6,120702.2,120637.73,124371.31,124271.75,121208.06,120819.56,120520.33,120440.78,120354.0,120433.06,120372.33,120516.89,120202.78,119882.17,119377.56,119169.56,119156.06,119275.28,119327.06,119067.94,118781.72,118515.39,118340.11,118109.44,118143.94,118333.89,118763.0,118953.89,118962.61,123968.05,123806.95,123884.26,123907.89,123862.47,123807.16,123650.05,123427.89,123137.63,122756.16,122499.21,122299.89,121375.95,121377.35,121260.15,121264.5,121294.65,121386.15,121488.3,121702.85,122065.05,122356.5,41.492537,-99.901813,Nebraska
SD,137403.0,138168.5,138324.0,138842.5,139246.5,124632.67,124872.0,125222.67,125019.33,124772.33,124477.67,124336.0,124715.33,125295.0,126367.33,142363.88,143167.5,143725.88,144859.62,146256.88,147859.12,149362.62,150823.75,152208.0,153821.25,155272.5,156779.5,140740.5,141878.3,143205.6,144371.6,145440.8,146003.4,146435.8,146514.1,146723.5,146815.8,147365.1,148192.8,148828.3,149090.3,148789.8,148760.3,148405.3,148834.9,149564.9,150655.6,151315.5,151826.4,151973.4,151587.2,149625.91,150162.64,148982.0,149762.17,150491.83,150831.83,151203.08,140949.06,142102.56,142197.56,142150.33,141951.94,142042.17,142183.83,142259.39,142397.78,142506.56,142732.11,142796.67,142937.83,142892.67,142962.67,143060.83,143033.28,142692.67,142007.5,141479.33,141051.94,140836.44,140334.94,139990.0,139557.28,139215.0,138872.5,138778.39,139174.0,139618.39,140084.78,140156.72,140071.78,139765.06,139575.83,139238.0,139061.33,138819.11,138669.83,138276.56,137766.78,137339.22,137000.61,136941.56,136934.78,136914.78,137095.83,43.969515,-99.901813,South Dakota
AL,96872.0,96507.41,96674.35,96919.94,97300.35,97746.0,98074.41,98087.76,98074.41,98065.71,98344.35,98663.76,99035.47,99384.47,99634.94,99781.65,99945.35,100160.18,100429.41,100855.29,101434.06,102119.88,102579.18,102949.59,103262.18,103744.65,104217.12,101932.17,102282.61,102535.5,102866.17,103351.56,103872.89,104304.94,104770.28,105192.67,105712.94,106034.11,106593.06,106961.06,107470.11,108065.72,108734.94,109241.94,109574.32,109916.68,110256.26,110892.47,111423.11,112177.37,112624.47,113242.53,113694.32,114097.11,114321.37,114463.89,114486.16,114601.05,114770.63,114868.58,114977.42,114748.58,114486.68,114175.26,114132.53,113991.47,113751.32,113480.32,113331.11,113082.89,112728.79,112201.0,111517.58,110905.32,110408.05,109970.89,111879.24,111383.9,111474.23,111097.77,109333.3,109019.17,108689.91,108267.09,107901.83,107581.96,107273.87,106955.61,106475.57,105934.65,105486.09,105099.43,104581.87,104038.09,103567.83,103296.04,102985.17,102717.39,102539.78,102370.74,102358.09,102285.0,102198.87,102103.0,102047.43,32.318231,-86.902298,Alabama
ID,159209.25,159746.5,160306.0,161091.75,183999.0,183820.83,183921.33,183842.0,184007.17,184275.33,185312.67,186942.67,188613.67,190097.67,191312.5,192342.5,193397.5,194322.33,195273.0,197015.0,199510.17,202513.5,192820.29,179652.62,185868.56,180668.07,182524.93,183232.0,177768.47,181066.0,179621.3,177048.41,179106.5,181000.64,182918.14,185131.18,187608.64,190159.32,192224.59,193960.41,199976.83,201326.17,202589.52,204064.57,205001.57,205878.17,206558.96,207119.78,207288.78,207285.17,207880.13,208510.39,209011.83,208791.74,208846.7,208798.83,209229.26,209551.74,205730.58,206034.79,205897.58,205427.67,204544.38,203945.17,203190.88,202464.71,201441.42,200385.42,199366.75,198180.04,197182.33,195738.54,194563.21,192846.83,191184.04,189203.5,187495.04,185954.04,184201.58,182365.42,174914.67,173715.33,170913.14,169693.79,168566.39,168164.82,167415.11,166252.25,164806.71,163465.5,162266.04,161002.89,159625.93,158197.5,154805.48,150281.0,149224.33,147805.37,147018.7,146585.6,146452.63,146361.2,146410.3,146749.6,146919.33,44.068202,-114.742041,Idaho
DE,236112.09,239260.37,242428.09,245547.91,248680.7,252124.21,255905.65,259267.86,262265.72,264911.49,267958.26,270791.44,273377.07,276007.49,279092.23,282711.4,286535.72,290220.0,293637.12,296585.93,300006.07,304118.91,308280.28,312352.37,316008.6,320162.6,323868.16,327395.58,327321.32,330693.66,334655.34,339403.48,339861.42,343617.22,347279.69,347580.63,350732.93,352725.11,354760.24,356455.65,358879.41,360822.17,362059.67,362934.59,363043.57,363341.33,362457.72,362021.13,361759.98,362279.04,362851.0,363459.83,359757.66,359188.64,354572.06,348141.18,343261.02,330307.43,326837.0,325501.19,324551.27,323310.02,321726.97,319492.86,316976.93,314029.69,311823.56,309334.88,307605.81,305808.25,304549.31,303076.51,301386.29,299182.44,296740.54,294515.31,292939.2,292234.69,291425.08,290640.22,289387.14,288103.14,286826.03,285937.8,284932.36,284402.9,284192.1,283955.93,283141.56,281687.68,280205.75,278218.53,276147.32,274413.08,272568.46,270689.63,266532.18,264579.22,262288.55,260706.03,259619.47,258776.47,257318.93,256113.17,255206.83,38.910832,-75.52767,Delaware
